"","Row_id","name","screen_size","specifications","model","price","rating","reviews"
"1",1,"Lenovo - 330-15ARR","15.6","Laptop - AMD Ryzen 3 - 8GB Memory - 1TB Hard Drive - Onyx Black","IDEAPAD 330 15 - 81D2008FUS",329.99,2,2
"2",2,"Dell - Inspiron","15.6","Laptop - AMD A6-Series - 4GB Memory - AMD Radeon R4 - 500GB Hard Drive - Black","I3565-A453BLK-PUS",279.99,4,969
"3",3,"Lenovo - 330S-15IKB","15.6","Laptop - Intel Core i5 - 8GB Memory - 128GB Solid State Drive - Platinum Gray","81F5004EUS",503.99,4.5,356
"4",4,"Lenovo -","14","Laptop - Intel Celeron - 2GB Memory - 32GB eMMC Flash Memory - Mineral Gray","81A5001UUS",149.99,4,515
"5",5,"Dell - Inspiron","15.6","Laptop - Intel Core i3 - 8GB Memory - 1TB Hard Drive - Black","I3567-3276BLK-PUS",379.99,4.2,215
"6",6,"HP - Stream","14","Laptop - Intel Celeron - 4GB Memory - 32GB eMMC Flash Memory - Textured Linear Grooves In Aqua Blue","14-CB110NR",219.99,4,1
"7",7,"HP -","15.6","Laptop - AMD A6-Series - 4GB Memory - AMD Radeon R4 - 1TB Hard Drive - HP Finish In Jet Black With A Maglia Texture","15-DB0011DX",299.99,4,325
"8",8,"HP -","15.6","Touch-Screen Laptop - Intel Core i5 - 12GB Memory - 128GB Solid State Drive - HP Finish In Natural Silver","15-DA0014DX",579.99,4.5,375
"9",9,"HP - Spectre x360 2-in-1","15.6","4K Ultra HD Touch-Screen Laptop - Intel Core i7 - 16GB Memory - 512GB SSD - HP Finish In Dark Ash Silver","15-CH011DX",1599.99,4.7,386
"10",10,"Microsoft - Surface Go -","10","Touch-Screen - Intel Pentium Gold - 8GB Memory - 128GB Storage - Silver","MCZ-00001",549,4.5,124
"11",11,"Dell - Inspiron 2-in-1","13.3","Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Era Gray","I7373-5558GRY-PUS",749.99,4.5,888
"12",12,"ASUS - VivoBook Max X541NA","15.6","Laptop - Intel Pentium - 4GB Memory - 500GB Hard Drive - Chocolate black","X541NA-PD1003Y",209.99,3.9,1224
"13",13,"Dell - Inspiron 2-in-1","15.6","Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Era Gray","I7573-5132GRY-PUS",829.99,4.7,123
